report_num,date,crime,location,address,city,state,lat,long,status
133155,11/8/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ASSEMBLY HALL, ,Bloomington,Indiana,,,Closed By Arrest
133123,11/6/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,BRISCOE QUAD BACK LOT, ,Bloomington,Indiana,,,Closed By Arrest
133093,11/3/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,USA HICKORY HALL, ,Bloomington,Indiana,,,Closed By Arrest
133092,11/3/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133091,11/3/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER HARPER HALL, ,Bloomington,Indiana,,,Closed By Arrest
133090,11/3/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER JENKINSON HALL, ,Bloomington,Indiana,,,Closed By Arrest
133086,11/3/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133082,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133055,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,READ CENTER, ,Bloomington,Indiana,,,Closed By Arrest
133054,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,CAMPUS VIEW COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133053,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER JENKINSON HALL, ,Bloomington,Indiana,,,Closed By Arrest
133051,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,TETER QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133050,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,TETER QUAD, ,Bloomington,Indiana,,,Closed By Arrest
133049,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,USA PINE HALL, ,Bloomington,Indiana,,,Closed By Arrest
133047,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,WALNUT GROVE/NORTH OF 10TH, ,Bloomington,Indiana,,,Closed By Arrest
133044,11/2/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,7TH STREET/EAST OF JORDAN, ,Bloomington,Indiana,,,Closed By Arrest
133043,11/1/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133025,11/1/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,PARK AVENUE/NORTH OF 10TH, ,Bloomington,Indiana,,,Closed By Arrest
133024,11/1/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,EIGENMANN HALL, ,Bloomington,Indiana,,,Closed By Arrest
133022,10/31/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,COLLINS/GREENE, ,Bloomington,Indiana,,,Closed By Arrest
132996,10/31/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed By Arrest
132994,10/31/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
132949,10/27/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,EIGENMANN HALL, ,Bloomington,Indiana,,,Closed No Arrest
132946,10/27/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,EIGENMANN HALL, ,Bloomington,Indiana,,,Closed By Arrest
132937,10/26/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ATHLETIC/YELLOW LOT, ,Bloomington,Indiana,,,Closed By Arrest
132934,10/26/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ASHTON COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
132933,10/26/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,FOSTER HARPER HALL, ,Bloomington,Indiana,,,Closed By Arrest
132930,10/26/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,WALNUT GROVE/NORTH OF 10TH, ,Bloomington,Indiana,,,Closed By Arrest
132929,10/25/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD BACK LOT, ,Bloomington,Indiana,,,Closed By Arrest
132928,10/25/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,ALPHA DELTA PI, ,Bloomington,Indiana,,,Closed By Arrest
132921,10/25/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,LAMDA CHI ALPHA, ,Bloomington,Indiana,,,Closed By Arrest
132875,10/20/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,10TH STREET/EAST OF JORDA, ,Bloomington,Indiana,,,Closed By Arrest
